ingredient,skin_type,label
Glycerin,건성,GOOD
Glycerin,지성,NORMAL
Glycerin,복합성,GOOD
Butylene Glycol,건성,NORMAL
Butylene Glycol,지성,NORMAL
Butylene Glycol,복합성,NORMAL
Squalene,건성,GOOD
Squalene,지성,GOOD
Squalene,복합성,GOOD
Ceteareth-20,건성,GOOD
Ceteareth-20,지성,NORMAL
Ceteareth-20,복합성,NORMAL
Glyceryl Stearate,건성,GOOD
Glyceryl Stearate,지성,CAUTION
Glyceryl Stearate,복합성,NORMAL
Glyceryl Stearate SE,건성,NORMAL
Glyceryl Stearate SE,지성,NORMAL
Glyceryl Stearate SE,복합성,NORMAL
Potassium Sorbate,건성,NORMAL
Potassium Sorbate,지성,NORMAL
Potassium Sorbate,복합성,NORMAL
Caprylyl Glycol,건성,CAUTION
Caprylyl Glycol,지성,NORMAL
Caprylyl Glycol,복합성,NORMAL
Squalane,건성,GOOD
Squalane,지성,GOOD
Squalane,복합성,GOOD
Xanthan Gum,건성,NORMAL
Xanthan Gum,지성,NORMAL
Xanthan Gum,복합성,NORMAL
Phenoxyethanol,건성,NORMAL
Phenoxyethanol,지성,NORMAL
Phenoxyethanol,복합성,NORMAL
Sodium Hydroxide,건성,NORMAL
Sodium Hydroxide,지성,NORMAL
Sodium Hydroxide,복합성,NORMAL
Ethoxydiglycol,건성,NORMAL
Ethoxydiglycol,지성,NORMAL
Ethoxydiglycol,복합성,NORMAL
Carbomer,건성,NORMAL
Carbomer,지성,NORMAL
Carbomer,복합성,NORMAL
Hyaluronic Acid,건성,GOOD
Hyaluronic Acid,지성,GOOD
Hyaluronic Acid,복합성,GOOD
Laureth-23,건성,GOOD
Laureth-23,지성,CAUTION
Laureth-23,복합성,NORMAL
Centella Asiatica Extract,건성,GOOD
Centella Asiatica Extract,지성,NORMAL
Centella Asiatica Extract,복합성,NORMAL
Sodium Phytate,건성,NORMAL
Sodium Phytate,지성,NORMAL
Sodium Phytate,복합성,NORMAL
Triethanolamine,건성,CAUTION
Triethanolamine,지성,NORMAL
Triethanolamine,복합성,CAUTION
Lactic Acid,건성,GOOD
Lactic Acid,지성,GOOD
Lactic Acid,복합성,NORMAL
Ascorbic Acid,건성,GOOD
Ascorbic Acid,지성,NORMAL
Ascorbic Acid,복합성,GOOD
Ferulic Acid,건성,NORMAL
Ferulic Acid,지성,NORMAL
Ferulic Acid,복합성,NORMAL
Limonene,건성,CAUTION
Limonene,지성,CAUTION
Limonene,복합성,CAUTION
Panthenol,건성,GOOD
Panthenol,지성,NORMAL
Panthenol,복합성,GOOD
Opuntia Ficus-Indica Extract,건성,NORMAL
Opuntia Ficus-Indica Extract,지성,NORMAL
Opuntia Ficus-Indica Extract,복합성,NORMAL
Glycolic Acid,건성,CAUTION
Glycolic Acid,지성,GOOD
Glycolic Acid,복합성,NORMAL
